Complexity,Loss,Equation
1,300000.0,"0.08632419"
2,200000.0,"exp(x0)"
4,100000.0,"exp(-0.9500675) + x0"
6,0.16666667,"x0 + (exp(1.279586) * -1.0752308)"
7,0.14285715,"neg(exp(-1.3684591 * -0.9500675)) + x0"
8,0.125,"neg(p(exp(-1.3684591 * -0.9500675))) + x0"
9,0.11111111,"neg(exp(-1.3684591 * -0.9500675)) + (x0 + x0)"
10,0.1,"(neg(exp(p(-1.3684591 * -0.9500675))) + 0.6203125) + x0"
11,0.09090909,"neg(exp(-1.3684591 * -0.9500675)) + ((x0 * 0.19886196) + -1.0375882)"
12,0.083333336,"p(exp(logical_or(x0, neg(-1.3104761) + -0.11369952))) * (-0.94763327 + x0)"
13,0.07692308,"exp((-0.29332906 * (logical_and(0.21870837, x0) + x0)) + p(0.8897921)) * -0.57872957"
14,0.071428575,"neg(exp(exp(logical_or(1.3457298, exp(neg(0.54648393 + logical_and(-0.16446613, -2.2999864)))) * 0.21023959)))"
15,0.06666667,"neg(exp(logical_or(p(-1.5773371 * -1.03459), x0)) + exp(logical_or(-1.5773371 * -1.03459, x0)))"
16,0.0625,"neg(exp(exp(logical_or(1.3457298, exp(neg(0.54648393 + logical_and(-0.16446613, -2.2999864)) * 0.7797368)) * 0.21023959)))"
17,0.05882353,"neg(exp(p(logical_and(logical_or(exp((x0 * logical_and(0.7714744, -1.3845751)) * 1.5377612), 1.4365267), 0.19229233)) + 0.07329378))"
18,0.055555556,"neg(exp(logical_or(exp(-0.23077573), exp(neg(logical_and(-0.16446613, 1.3457298)) + 0.54648393))) * (x0 + -0.75011355)) * -2.1973202"
19,0.05263158,"neg(exp(exp(p(((exp(neg(-0.16446613)) + 1.3457298) + exp(neg(0.54648393 + logical_and(-0.16446613, 1.3990835)))) * 0.21023959))))"
20,0.05,"neg(exp(logical_or(exp(-0.23077573), logical_or(exp(neg(logical_and(-0.16446613, 1.3457298)) + 0.54648393), x0))) * (x0 + -0.75011355)) * -2.1973202"
