Complexity,Loss,Equation
1,Inf,"nullity_D1"
3,5.6579433e13,"implies(_1, _1)"
5,8.7493454e12,"implies(_1, equals(_1, nullity_D2))"
7,141088.53,"implies(equals(nullity_D1, rank_D2), equals(nullity_D2, rank_D2))"
9,32496.54,"implies(equals(rank_D2, nullity_D1), equals(_1 + rank_D2, nullity_D1))"
10,19930.371,"implies(equals(nullity_D2, _1), equals(logical_neg(equals(_1, nullity_D2)), nullity_D2))"
11,7398.9316,"implies(equals(nullity_D2 + _0, nullity_D2), equals(nullity_D2, width_D1 + nullity_D2))"
12,4521.8057,"implies(equals(_1, nullity_D2 + _0), equals(rank_D1, logical_neg(equals(nullity_D2, _0))))"
13,1674.1769,"implies(equals(_1, _1 + _0), equals(width_D2 + height_D2, _0 + height_D2))"
14,1021.0343,"implies(equals(_1, _0 + _1), equals(logical_neg(equals(nullity_D1, _1)), _0 + _1))"
15,377.41046,"implies(equals(nullity_D2 + _0, nullity_D2), equals(height_D2 + ((width_D1 + nullity_D2) + width_D1), _0))"
16,229.86679,"implies(equals(nullity_D2, _1 + _0), equals(width_D1 + (logical_neg(equals(rank_D2, _1)) + nullity_D2), _0))"
17,84.87473,"implies(equals(nullity_D2 + _0, nullity_D2), equals((_1 + (width_D1 + (nullity_D2 + width_D1))) + _0, _0))"
18,51.647636,"implies(equals(_0 + _1, nullity_D2), equals(logical_neg(equals(width_D1, rank_D2 + height_D2)) + (rank_D2 + rank_D1), nullity_D1))"
19,19.05574,"implies(equals(nullity_D2, nullity_D2 + _0), equals(_0 + (((_0 + rank_D2) + _0) + _1), rank_D2 + nullity_D2))"
20,11.5883465,"implies(equals(_0 + width_D1, height_D2), equals(logical_neg(equals(width_D1, _0 + (_1 + (nullity_D2 + rank_D2)))), nullity_D2 + _1))"
21,4.273277,"implies(equals(_1, _0 + nullity_D2), equals(height_D1 + (nullity_D2 + (((height_D1 + width_D1) + nullity_D2) + height_D2)), nullity_D2 + width_D1))"
22,2.5974896,"implies(equals(_0 + height_D2, width_D1), equals(logical_neg(equals(rank_D1 + rank_D2, (width_D1 + rank_D2) + (rank_D1 + rank_D1))), height_D2 + height_D2))"
23,0.95745337,"implies(equals(_1, _0 + nullity_D2), equals((width_D1 + width_D1) + ((_1 + nullity_D2) + (height_D1 + (height_D1 + height_D2))), nullity_D2 + nullity_D2))"
