,width_δ1,width_δ2,height_δ1,height_δ2,rank_δ1,rank_δ2,nullity_δ1,nullity_δ2,H1
0,504,336,166,504,165,335,339,1,4
1,636,424,210,636,209,423,427,1,4
2,450,300,148,450,147,299,303,1,4
3,516,344,170,516,169,343,347,1,4
4,546,364,180,546,179,363,367,1,4
5,573,382,189,573,188,381,385,1,4
6,447,298,147,447,146,297,301,1,4
7,498,332,164,498,163,331,335,1,4
8,636,424,210,636,209,423,427,1,4
9,534,356,176,534,175,355,359,1,4
10,432,288,142,432,141,287,291,1,4
11,540,360,178,540,177,359,363,1,4
12,534,356,176,534,175,355,359,1,4
13,558,372,184,558,183,371,375,1,4
14,588,392,194,588,193,391,395,1,4
15,564,376,186,564,185,375,379,1,4
16,630,420,208,630,207,419,423,1,4
17,429,286,141,429,140,285,289,1,4
18,651,434,215,651,214,433,437,1,4
19,558,372,184,558,183,371,375,1,4
20,603,402,199,603,198,401,405,1,4
21,552,368,182,552,181,367,371,1,4
22,588,392,194,588,193,391,395,1,4
23,471,314,155,471,154,313,317,1,4
24,600,400,198,600,197,399,403,1,4
25,438,292,144,438,143,291,295,1,4
26,510,340,168,510,167,339,343,1,4
27,504,336,166,504,165,335,339,1,4
28,540,360,178,540,177,359,363,1,4
29,531,354,175,531,174,353,357,1,4
30,543,362,179,543,178,361,365,1,4
31,501,334,165,501,164,333,337,1,4
32,543,362,179,543,178,361,365,1,4
33,549,366,181,549,180,365,369,1,4
34,624,416,206,624,205,415,419,1,4
35,591,394,195,591,194,393,397,1,4
36,555,370,183,555,182,369,373,1,4
37,522,348,172,522,171,347,351,1,4
38,573,382,189,573,188,381,385,1,4
39,447,298,147,447,146,297,301,1,4
40,597,398,197,597,196,397,401,1,4
41,360,240,118,360,117,239,243,1,4
42,522,348,172,522,171,347,351,1,4
43,597,398,197,597,196,397,401,1,4
44,540,360,178,540,177,359,363,1,4
45,492,328,162,492,161,327,331,1,4
46,684,456,226,684,225,455,459,1,4
47,378,252,124,378,123,251,255,1,4
48,477,318,157,477,156,317,321,1,4
49,492,328,162,492,161,327,331,1,4
50,456,304,150,456,149,303,307,1,4
51,468,312,154,468,153,311,315,1,4
52,435,290,143,435,142,289,293,1,4
53,555,370,183,555,182,369,373,1,4
54,396,264,130,396,129,263,267,1,4
55,582,388,192,582,191,387,391,1,4
56,384,256,126,384,125,255,259,1,4
57,483,322,159,483,158,321,325,1,4
58,459,306,151,459,150,305,309,1,4
59,498,332,164,498,163,331,335,1,4
60,501,334,165,501,164,333,337,1,4
61,567,378,187,567,186,377,381,1,4
62,462,308,152,462,151,307,311,1,4
63,561,374,185,561,184,373,377,1,4
64,594,396,196,594,195,395,399,1,4
65,420,280,138,420,137,279,283,1,4
66,627,418,207,627,206,417,421,1,4
67,465,310,153,465,152,309,313,1,4
68,480,320,158,480,157,319,323,1,4
69,687,458,227,687,226,457,461,1,4
70,681,454,225,681,224,453,457,1,4
71,486,324,160,486,159,323,327,1,4
72,435,290,143,435,142,289,293,1,4
73,471,314,155,471,154,313,317,1,4
74,555,370,183,555,182,369,373,1,4
75,408,272,134,408,133,271,275,1,4
76,417,278,137,417,136,277,281,1,4
77,411,274,135,411,134,273,277,1,4
78,390,260,128,390,127,259,263,1,4
79,579,386,191,579,190,385,389,1,4
80,537,358,177,537,176,357,361,1,4
81,684,456,226,684,225,455,459,1,4
82,606,404,200,606,199,403,407,1,4
83,696,464,230,696,229,463,467,1,4
84,420,280,138,420,137,279,283,1,4
85,519,346,171,519,170,345,349,1,4
86,480,320,158,480,157,319,323,1,4
87,519,346,171,519,170,345,349,1,4
88,531,354,175,531,174,353,357,1,4
89,678,452,224,678,223,451,455,1,4
90,456,304,150,456,149,303,307,1,4
91,447,298,147,447,146,297,301,1,4
92,534,356,176,534,175,355,359,1,4
93,336,224,110,336,109,223,227,1,4
94,456,304,150,456,149,303,307,1,4
95,513,342,169,513,168,341,345,1,4
96,627,418,207,627,206,417,421,1,4
97,570,380,188,570,187,379,383,1,4
98,462,308,152,462,151,307,311,1,4
99,663,442,219,663,218,441,445,1,4
100,375,250,123,375,122,249,253,1,4
101,552,368,182,552,181,367,371,1,4
102,546,364,180,546,179,363,367,1,4
103,564,376,186,564,185,375,379,1,4
104,708,472,234,708,233,471,475,1,4
105,624,416,206,624,205,415,419,1,4
106,483,322,159,483,158,321,325,1,4
107,594,396,196,594,195,395,399,1,4
108,441,294,145,441,144,293,297,1,4
109,483,322,159,483,158,321,325,1,4
110,615,410,203,615,202,409,413,1,4
111,582,388,192,582,191,387,391,1,4
112,537,358,177,537,176,357,361,1,4
113,645,430,213,645,212,429,433,1,4
114,438,292,144,438,143,291,295,1,4
115,480,320,158,480,157,319,323,1,4
116,540,360,178,540,177,359,363,1,4
117,498,332,164,498,163,331,335,1,4
118,663,442,219,663,218,441,445,1,4
119,528,352,174,528,173,351,355,1,4
120,528,352,174,528,173,351,355,1,4
121,549,366,181,549,180,365,369,1,4
122,438,292,144,438,143,291,295,1,4
123,591,394,195,591,194,393,397,1,4
124,588,392,194,588,193,391,395,1,4
125,597,398,197,597,196,397,401,1,4
126,543,362,179,543,178,361,365,1,4
127,555,370,183,555,182,369,373,1,4
128,432,288,142,432,141,287,291,1,4
129,441,294,145,441,144,293,297,1,4
130,438,292,144,438,143,291,295,1,4
131,534,356,176,534,175,355,359,1,4
132,603,402,199,603,198,401,405,1,4
133,543,362,179,543,178,361,365,1,4
134,477,318,157,477,156,317,321,1,4
135,558,372,184,558,183,371,375,1,4
136,564,376,186,564,185,375,379,1,4
137,549,366,181,549,180,365,369,1,4
138,636,424,210,636,209,423,427,1,4
139,672,448,222,672,221,447,451,1,4
140,438,292,144,438,143,291,295,1,4
141,387,258,127,387,126,257,261,1,4
142,408,272,134,408,133,271,275,1,4
143,549,366,181,549,180,365,369,1,4
144,531,354,175,531,174,353,357,1,4
145,486,324,160,486,159,323,327,1,4
146,705,470,233,705,232,469,473,1,4
147,519,346,171,519,170,345,349,1,4
148,534,356,176,534,175,355,359,1,4
149,645,430,213,645,212,429,433,1,4
150,468,312,154,468,153,311,315,1,4
151,426,284,140,426,139,283,287,1,4
152,585,390,193,585,192,389,393,1,4
153,468,312,154,468,153,311,315,1,4
154,555,370,183,555,182,369,373,1,4
155,645,430,213,645,212,429,433,1,4
156,534,356,176,534,175,355,359,1,4
157,522,348,172,522,171,347,351,1,4
158,609,406,201,609,200,405,409,1,4
159,597,398,197,597,196,397,401,1,4
160,558,372,184,558,183,371,375,1,4
161,546,364,180,546,179,363,367,1,4
162,570,380,188,570,187,379,383,1,4
163,423,282,139,423,138,281,285,1,4
164,456,304,150,456,149,303,307,1,4
165,519,346,171,519,170,345,349,1,4
166,489,326,161,489,160,325,329,1,4
167,468,312,154,468,153,311,315,1,4
168,549,366,181,549,180,365,369,1,4
169,462,308,152,462,151,307,311,1,4
170,435,290,143,435,142,289,293,1,4
171,579,386,191,579,190,385,389,1,4
172,498,332,164,498,163,331,335,1,4
173,606,404,200,606,199,403,407,1,4
174,441,294,145,441,144,293,297,1,4
175,564,376,186,564,185,375,379,1,4
176,537,358,177,537,176,357,361,1,4
177,444,296,146,444,145,295,299,1,4
178,504,336,166,504,165,335,339,1,4
179,606,404,200,606,199,403,407,1,4
180,441,294,145,441,144,293,297,1,4
181,678,452,224,678,223,451,455,1,4
182,354,236,116,354,115,235,239,1,4
183,498,332,164,498,163,331,335,1,4
184,552,368,182,552,181,367,371,1,4
185,585,390,193,585,192,389,393,1,4
186,642,428,212,642,211,427,431,1,4
187,549,366,181,549,180,365,369,1,4
188,519,346,171,519,170,345,349,1,4
189,501,334,165,501,164,333,337,1,4
190,603,402,199,603,198,401,405,1,4
191,498,332,164,498,163,331,335,1,4
192,462,308,152,462,151,307,311,1,4
193,423,282,139,423,138,281,285,1,4
194,441,294,145,441,144,293,297,1,4
195,612,408,202,612,201,407,411,1,4
196,510,340,168,510,167,339,343,1,4
197,609,406,201,609,200,405,409,1,4
198,411,274,135,411,134,273,277,1,4
199,696,464,230,696,229,463,467,1,4
200,510,340,168,510,167,339,343,1,4
201,483,322,159,483,158,321,325,1,4
202,684,456,226,684,225,455,459,1,4
203,537,358,177,537,176,357,361,1,4
204,522,348,172,522,171,347,351,1,4
205,324,216,106,324,105,215,219,1,4
206,453,302,149,453,148,301,305,1,4
207,453,302,149,453,148,301,305,1,4
208,414,276,136,414,135,275,279,1,4
209,489,326,161,489,160,325,329,1,4
210,585,390,193,585,192,389,393,1,4
211,546,364,180,546,179,363,367,1,4
212,420,280,138,420,137,279,283,1,4
213,342,228,112,342,111,227,231,1,4
214,639,426,211,639,210,425,429,1,4
215,438,292,144,438,143,291,295,1,4
216,450,300,148,450,147,299,303,1,4
217,507,338,167,507,166,337,341,1,4
218,396,264,130,396,129,263,267,1,4
219,555,370,183,555,182,369,373,1,4
220,654,436,216,654,215,435,439,1,4
221,642,428,212,642,211,427,431,1,4
222,567,378,187,567,186,377,381,1,4
223,342,228,112,342,111,227,231,1,4
224,531,354,175,531,174,353,357,1,4
