,width_δ1,width_δ2,height_δ1,height_δ2,rank_δ1,rank_δ2,nullity_δ1,nullity_δ2,b0,b1,b2
0,1515,1010,505,1515,503,1010,1012,0,2,2,0
1,1065,710,355,1065,353,710,712,0,2,2,0
2,1194,796,398,1194,396,796,798,0,2,2,0
3,1746,1164,582,1746,580,1164,1166,0,2,2,0
4,1116,744,372,1116,370,744,746,0,2,2,0
5,1521,1014,507,1521,505,1014,1016,0,2,2,0
6,1635,1090,545,1635,543,1090,1092,0,2,2,0
7,1551,1034,517,1551,515,1034,1036,0,2,2,0
8,1440,960,480,1440,478,960,962,0,2,2,0
9,1515,1010,505,1515,503,1010,1012,0,2,2,0
10,1524,1016,508,1524,506,1016,1018,0,2,2,0
11,1209,806,403,1209,401,806,808,0,2,2,0
12,1206,804,402,1206,400,804,806,0,2,2,0
13,1719,1146,573,1719,571,1146,1148,0,2,2,0
14,840,560,280,840,278,560,562,0,2,2,0
15,1476,984,492,1476,490,984,986,0,2,2,0
16,1434,956,478,1434,476,956,958,0,2,2,0
17,1200,800,400,1200,398,800,802,0,2,2,0
18,1623,1082,541,1623,539,1082,1084,0,2,2,0
19,1164,776,388,1164,386,776,778,0,2,2,0
20,1830,1220,610,1830,608,1220,1222,0,2,2,0
21,1422,948,474,1422,472,948,950,0,2,2,0
22,1149,766,383,1149,381,766,768,0,2,2,0
23,1500,1000,500,1500,498,1000,1002,0,2,2,0
24,1854,1236,618,1854,616,1236,1238,0,2,2,0
25,1614,1076,538,1614,536,1076,1078,0,2,2,0
26,1572,1048,524,1572,522,1048,1050,0,2,2,0
27,1470,980,490,1470,488,980,982,0,2,2,0
28,1806,1204,602,1806,600,1204,1206,0,2,2,0
29,816,544,272,816,270,544,546,0,2,2,0
30,1527,1018,509,1527,507,1018,1020,0,2,2,0
31,1308,872,436,1308,434,872,874,0,2,2,0
32,1275,850,425,1275,423,850,852,0,2,2,0
33,1602,1068,534,1602,532,1068,1070,0,2,2,0
34,1566,1044,522,1566,520,1044,1046,0,2,2,0
35,1314,876,438,1314,436,876,878,0,2,2,0
36,1698,1132,566,1698,564,1132,1134,0,2,2,0
37,1185,790,395,1185,393,790,792,0,2,2,0
38,1869,1246,623,1869,621,1246,1248,0,2,2,0
39,1053,702,351,1053,349,702,704,0,2,2,0
40,1317,878,439,1317,437,878,880,0,2,2,0
41,1164,776,388,1164,386,776,778,0,2,2,0
42,1173,782,391,1173,389,782,784,0,2,2,0
43,1272,848,424,1272,422,848,850,0,2,2,0
44,1629,1086,543,1629,541,1086,1088,0,2,2,0
45,1659,1106,553,1659,551,1106,1108,0,2,2,0
46,1410,940,470,1410,468,940,942,0,2,2,0
47,1761,1174,587,1761,585,1174,1176,0,2,2,0
48,1716,1144,572,1716,570,1144,1146,0,2,2,0
49,1134,756,378,1134,376,756,758,0,2,2,0
50,1593,1062,531,1593,529,1062,1064,0,2,2,0
51,1677,1118,559,1677,557,1118,1120,0,2,2,0
52,1338,892,446,1338,444,892,894,0,2,2,0
53,1596,1064,532,1596,530,1064,1066,0,2,2,0
54,1470,980,490,1470,488,980,982,0,2,2,0
55,1509,1006,503,1509,501,1006,1008,0,2,2,0
56,1626,1084,542,1626,540,1084,1086,0,2,2,0
57,1299,866,433,1299,431,866,868,0,2,2,0
58,1413,942,471,1413,469,942,944,0,2,2,0
59,1461,974,487,1461,485,974,976,0,2,2,0
60,1263,842,421,1263,419,842,844,0,2,2,0
61,1470,980,490,1470,488,980,982,0,2,2,0
62,1671,1114,557,1671,555,1114,1116,0,2,2,0
63,1380,920,460,1380,458,920,922,0,2,2,0
64,1932,1288,644,1932,642,1288,1290,0,2,2,0
65,1500,1000,500,1500,498,1000,1002,0,2,2,0
66,1404,936,468,1404,466,936,938,0,2,2,0
67,1041,694,347,1041,345,694,696,0,2,2,0
68,1371,914,457,1371,455,914,916,0,2,2,0
69,1344,896,448,1344,446,896,898,0,2,2,0
70,1317,878,439,1317,437,878,880,0,2,2,0
71,1989,1326,663,1989,661,1326,1328,0,2,2,0
72,1317,878,439,1317,437,878,880,0,2,2,0
73,936,624,312,936,310,624,626,0,2,2,0
74,1308,872,436,1308,434,872,874,0,2,2,0
75,972,648,324,972,322,648,650,0,2,2,0
76,1665,1110,555,1665,553,1110,1112,0,2,2,0
77,738,492,246,738,244,492,494,0,2,2,0
78,1569,1046,523,1569,521,1046,1048,0,2,2,0
79,1734,1156,578,1734,576,1156,1158,0,2,2,0
80,1683,1122,561,1683,559,1122,1124,0,2,2,0
81,1476,984,492,1476,490,984,986,0,2,2,0
82,1059,706,353,1059,351,706,708,0,2,2,0
83,2046,1364,682,2046,680,1364,1366,0,2,2,0
84,1452,968,484,1452,482,968,970,0,2,2,0
85,1200,800,400,1200,398,800,802,0,2,2,0
86,1746,1164,582,1746,580,1164,1166,0,2,2,0
87,1365,910,455,1365,453,910,912,0,2,2,0
88,918,612,306,918,304,612,614,0,2,2,0
89,1944,1296,648,1944,646,1296,1298,0,2,2,0
90,1446,964,482,1446,480,964,966,0,2,2,0
91,1425,950,475,1425,473,950,952,0,2,2,0
92,1431,954,477,1431,475,954,956,0,2,2,0
93,1500,1000,500,1500,498,1000,1002,0,2,2,0
94,1251,834,417,1251,415,834,836,0,2,2,0
95,1896,1264,632,1896,630,1264,1266,0,2,2,0
96,1254,836,418,1254,416,836,838,0,2,2,0
97,924,616,308,924,306,616,618,0,2,2,0
98,1785,1190,595,1785,593,1190,1192,0,2,2,0
99,921,614,307,921,305,614,616,0,2,2,0
100,1581,1054,527,1581,525,1054,1056,0,2,2,0
101,1287,858,429,1287,427,858,860,0,2,2,0
102,1224,816,408,1224,406,816,818,0,2,2,0
103,1611,1074,537,1611,535,1074,1076,0,2,2,0
104,1833,1222,611,1833,609,1222,1224,0,2,2,0
105,1572,1048,524,1572,522,1048,1050,0,2,2,0
106,1638,1092,546,1638,544,1092,1094,0,2,2,0
107,897,598,299,897,297,598,600,0,2,2,0
108,1137,758,379,1137,377,758,760,0,2,2,0
109,1350,900,450,1350,448,900,902,0,2,2,0
110,1203,802,401,1203,399,802,804,0,2,2,0
111,1407,938,469,1407,467,938,940,0,2,2,0
112,1263,842,421,1263,419,842,844,0,2,2,0
113,1461,974,487,1461,485,974,976,0,2,2,0
114,1113,742,371,1113,369,742,744,0,2,2,0
115,1215,810,405,1215,403,810,812,0,2,2,0
116,984,656,328,984,326,656,658,0,2,2,0
117,1197,798,399,1197,397,798,800,0,2,2,0
118,945,630,315,945,313,630,632,0,2,2,0
119,1269,846,423,1269,421,846,848,0,2,2,0
120,1038,692,346,1038,344,692,694,0,2,2,0
121,1782,1188,594,1782,592,1188,1190,0,2,2,0
122,1623,1082,541,1623,539,1082,1084,0,2,2,0
123,1059,706,353,1059,351,706,708,0,2,2,0
124,1344,896,448,1344,446,896,898,0,2,2,0
125,1404,936,468,1404,466,936,938,0,2,2,0
126,1089,726,363,1089,361,726,728,0,2,2,0
127,1134,756,378,1134,376,756,758,0,2,2,0
