,Unnamed: 0,width_δ1,width_δ2,height_δ1,height_δ2,rank_δ1,rank_δ2,nullity_δ1,nullity_δ2,b0,b1,b2
0,0,2388,1592,798,2388,796,1591,1592,1,2,1,1
1,1,1851,1234,619,1851,617,1233,1234,1,2,1,1
2,2,2388,1592,798,2388,796,1591,1592,1,2,1,1
3,3,2010,1340,672,2010,670,1339,1340,1,2,1,1
4,4,1650,1100,552,1650,550,1099,1100,1,2,1,1
5,5,1797,1198,601,1797,599,1197,1198,1,2,1,1
6,6,2166,1444,724,2166,722,1443,1444,1,2,1,1
7,7,1785,1190,597,1785,595,1189,1190,1,2,1,1
8,8,1956,1304,654,1956,652,1303,1304,1,2,1,1
9,9,1968,1312,658,1968,656,1311,1312,1,2,1,1
10,10,2310,1540,772,2310,770,1539,1540,1,2,1,1
11,11,1962,1308,656,1962,654,1307,1308,1,2,1,1
12,12,2613,1742,873,2613,871,1741,1742,1,2,1,1
13,13,2121,1414,709,2121,707,1413,1414,1,2,1,1
14,14,1785,1190,597,1785,595,1189,1190,1,2,1,1
15,15,1605,1070,537,1605,535,1069,1070,1,2,1,1
16,16,1923,1282,643,1923,641,1281,1282,1,2,1,1
17,17,2187,1458,731,2187,729,1457,1458,1,2,1,1
18,18,2034,1356,680,2034,678,1355,1356,1,2,1,1
19,19,2130,1420,712,2130,710,1419,1420,1,2,1,1
20,20,2703,1802,903,2703,901,1801,1802,1,2,1,1
21,21,1923,1282,643,1923,641,1281,1282,1,2,1,1
22,22,2160,1440,722,2160,720,1439,1440,1,2,1,1
23,23,2457,1638,821,2457,819,1637,1638,1,2,1,1
24,24,2019,1346,675,2019,673,1345,1346,1,2,1,1
25,25,2550,1700,852,2550,850,1699,1700,1,2,1,1
26,26,2358,1572,788,2358,786,1571,1572,1,2,1,1
27,27,2142,1428,716,2142,714,1427,1428,1,2,1,1
28,28,2238,1492,748,2238,746,1491,1492,1,2,1,1
29,29,2280,1520,762,2280,760,1519,1520,1,2,1,1
30,30,2322,1548,776,2322,774,1547,1548,1,2,1,1
31,31,1935,1290,647,1935,645,1289,1290,1,2,1,1
32,32,2535,1690,847,2535,845,1689,1690,1,2,1,1
